ID_Cliente,Empresa,Contacto,Email,Rubro,Modulo,Licencia_Key,Estado
1,Corporativo Logística LOG-101,Gestor LOG-101,contacto@log-101-mock.axyntrax.com,LOGÍSTICA,ATLAS,AK-TEST-20260508_181357-0001,INSTALACIÓN EXITOSA
2,Corporativo Logística LOG-102,Gestor LOG-102,contacto@log-102-mock.axyntrax.com,LOGÍSTICA,MATRIX,AK-TEST-20260508_181357-0002,INSTALACIÓN EXITOSA
3,Corporativo Logística LOG-103,Gestor LOG-103,contacto@log-103-mock.axyntrax.com,LOGÍSTICA,ATLAS,AK-TEST-20260508_181357-0003,INSTALACIÓN EXITOSA
4,Corporativo Logística LOG-104,Gestor LOG-104,contacto@log-104-mock.axyntrax.com,LOGÍSTICA,CECILIA,AK-TEST-20260508_181357-0004,INSTALACIÓN EXITOSA
5,Corporativo Logística LOG-105,Gestor LOG-105,contacto@log-105-mock.axyntrax.com,LOGÍSTICA,CECILIA,AK-TEST-20260508_181357-0005,INSTALACIÓN EXITOSA
6,Corporativo Logística LOG-106,Gestor LOG-106,contacto@log-106-mock.axyntrax.com,LOGÍSTICA,ATLAS,AK-TEST-20260508_181357-0006,INSTALACIÓN EXITOSA
7,Corporativo Logística LOG-107,Gestor LOG-107,contacto@log-107-mock.axyntrax.com,LOGÍSTICA,ATLAS,AK-TEST-20260508_181357-0007,INSTALACIÓN EXITOSA
8,Corporativo Logística LOG-108,Gestor LOG-108,contacto@log-108-mock.axyntrax.com,LOGÍSTICA,ATLAS,AK-TEST-20260508_181357-0008,INSTALACIÓN EXITOSA
9,Corporativo Logística LOG-109,Gestor LOG-109,contacto@log-109-mock.axyntrax.com,LOGÍSTICA,MATRIX,AK-TEST-20260508_181357-0009,INSTALACIÓN EXITOSA
10,Corporativo Logística LOG-110,Gestor LOG-110,contacto@log-110-mock.axyntrax.com,LOGÍSTICA,MATRIX,AK-TEST-20260508_181357-0010,INSTALACIÓN EXITOSA
11,Corporativo Logística LOG-111,Gestor LOG-111,contacto@log-111-mock.axyntrax.com,LOGÍSTICA,MATRIX,AK-TEST-20260508_181357-0011,INSTALACIÓN EXITOSA
12,Corporativo Logística LOG-112,Gestor LOG-112,contacto@log-112-mock.axyntrax.com,LOGÍSTICA,ATLAS,AK-TEST-20260508_181357-0012,INSTALACIÓN EXITOSA
13,Corporativo Logística LOG-113,Gestor LOG-113,contacto@log-113-mock.axyntrax.com,LOGÍSTICA,MATRIX,AK-TEST-20260508_181357-0013,INSTALACIÓN EXITOSA
14,Corporativo Logística LOG-114,Gestor LOG-114,contacto@log-114-mock.axyntrax.com,LOGÍSTICA,CECILIA,AK-TEST-20260508_181357-0014,INSTALACIÓN EXITOSA
15,Corporativo Logística LOG-115,Gestor LOG-115,contacto@log-115-mock.axyntrax.com,LOGÍSTICA,CECILIA,AK-TEST-20260508_181357-0015,INSTALACIÓN EXITOSA
16,Corporativo Logística LOG-116,Gestor LOG-116,contacto@log-116-mock.axyntrax.com,LOGÍSTICA,ATLAS,AK-TEST-20260508_181357-0016,INSTALACIÓN EXITOSA
17,Corporativo Logística LOG-117,Gestor LOG-117,contacto@log-117-mock.axyntrax.com,LOGÍSTICA,MATRIX,AK-TEST-20260508_181357-0017,INSTALACIÓN EXITOSA
18,Corporativo Logística LOG-118,Gestor LOG-118,contacto@log-118-mock.axyntrax.com,LOGÍSTICA,CECILIA,AK-TEST-20260508_181357-0018,INSTALACIÓN EXITOSA
19,Corporativo Logística LOG-119,Gestor LOG-119,contacto@log-119-mock.axyntrax.com,LOGÍSTICA,JARVIS,AK-TEST-20260508_181357-0019,INSTALACIÓN EXITOSA
20,Corporativo Logística LOG-120,Gestor LOG-120,contacto@log-120-mock.axyntrax.com,LOGÍSTICA,CECILIA,AK-TEST-20260508_181357-0020,INSTALACIÓN EXITOSA
21,Corporativo Logística LOG-121,Gestor LOG-121,contacto@log-121-mock.axyntrax.com,LOGÍSTICA,JARVIS,AK-TEST-20260508_181357-0021,INSTALACIÓN EXITOSA
22,Corporativo Logística LOG-122,Gestor LOG-122,contacto@log-122-mock.axyntrax.com,LOGÍSTICA,JARVIS,AK-TEST-20260508_181357-0022,INSTALACIÓN EXITOSA
23,Corporativo Logística LOG-123,Gestor LOG-123,contacto@log-123-mock.axyntrax.com,LOGÍSTICA,ATLAS,AK-TEST-20260508_181357-0023,INSTALACIÓN EXITOSA
24,Corporativo Logística LOG-124,Gestor LOG-124,contacto@log-124-mock.axyntrax.com,LOGÍSTICA,CECILIA,AK-TEST-20260508_181357-0024,INSTALACIÓN EXITOSA
25,Corporativo Logística LOG-125,Gestor LOG-125,contacto@log-125-mock.axyntrax.com,LOGÍSTICA,ATLAS,AK-TEST-20260508_181357-0025,INSTALACIÓN EXITOSA
26,Corporativo Logística LOG-126,Gestor LOG-126,contacto@log-126-mock.axyntrax.com,LOGÍSTICA,JARVIS,AK-TEST-20260508_181357-0026,INSTALACIÓN EXITOSA
27,Corporativo Logística LOG-127,Gestor LOG-127,contacto@log-127-mock.axyntrax.com,LOGÍSTICA,MATRIX,AK-TEST-20260508_181357-0027,INSTALACIÓN EXITOSA
28,Corporativo Logística LOG-128,Gestor LOG-128,contacto@log-128-mock.axyntrax.com,LOGÍSTICA,CECILIA,AK-TEST-20260508_181357-0028,INSTALACIÓN EXITOSA
29,Corporativo Logística LOG-129,Gestor LOG-129,contacto@log-129-mock.axyntrax.com,LOGÍSTICA,JARVIS,AK-TEST-20260508_181357-0029,INSTALACIÓN EXITOSA
30,Corporativo Logística LOG-130,Gestor LOG-130,contacto@log-130-mock.axyntrax.com,LOGÍSTICA,CECILIA,AK-TEST-20260508_181357-0030,INSTALACIÓN EXITOSA
31,Corporativo Logística LOG-131,Gestor LOG-131,contacto@log-131-mock.axyntrax.com,LOGÍSTICA,MATRIX,AK-TEST-20260508_181357-0031,INSTALACIÓN EXITOSA
